ticker,published_date,sent_pos,sent_neu,sent_neg,sentiment_strength,net_sentiment,news_count,has_news
AAPL,2022-12-19,0.009100156789581407,0.019212825325369325,0.9716869823440006,0.9625868255544192,-0.9625868255544192,5,1
AAPL,2022-12-20,0.011318386658145963,0.018124006800608827,0.9705575888122582,0.9592392021541122,-0.9592392021541122,5,1
AAPL,2022-12-21,0.37185252153129944,0.035316580099639276,0.5928308804805117,0.22097835894921225,-0.22097835894921225,5,1
AAPL,2022-12-22,0.0104903648104007,0.0444786421119858,0.9450310237873427,0.934540658976942,-0.934540658976942,5,1
AAPL,2022-12-23,0.18128315669507208,0.04383693267485588,0.774879902847184,0.5935967461521119,-0.5935967461521119,5,1
AAPL,2022-12-27,0.02023181797690038,0.03866590948933263,0.9411022584699067,0.9208704404930064,-0.9208704404930064,5,1
AAPL,2022-12-28,0.010120732748978074,0.017205145636229876,0.9726741365243886,0.9625534037754105,-0.9625534037754105,5,1
AAPL,2022-12-29,0.1960616719545435,0.017130953462693943,0.7868073518212987,0.5907456798667552,-0.5907456798667552,5,1
AAPL,2022-12-30,0.008574496016082426,0.01880116834208709,0.9726243501828268,0.9640498541667444,-0.9640498541667444,5,1
AAPL,2023-01-03,0.008354377180585862,0.01890425642550398,0.9727413458413362,0.9643869686607504,-0.9643869686607504,5,1
AAPL,2023-01-04,0.026663290982981307,0.034251309367790014,0.9390853912051285,0.9124221002221472,-0.9124221002221472,5,1
AAPL,2023-01-05,0.3118717590295933,0.062350745864152415,0.6257775316123169,0.31390577258272356,-0.31390577258272356,5,1
AAPL,2023-01-06,0.015437988495191858,0.02330162105489764,0.9612603805335027,0.9458223920383109,-0.9458223920383109,5,1
AAPL,2023-01-09,0.5694007288412344,0.03346491579363034,0.3971343298860457,0.1722663989551887,0.1722663989551887,5,1
AAPL,2023-01-10,0.33861377812644655,0.0585966236856948,0.6027895738694463,0.26417579574299976,-0.26417579574299976,5,1
AAPL,2023-01-11,0.5595066118609006,0.035924825099860336,0.40456857716318023,0.15493803469772033,0.15493803469772033,5,1
AAPL,2023-01-12,0.5688411398150275,0.026287630825956726,0.4048712528164082,0.1639698869986193,0.1639698869986193,5,1
AAPL,2023-01-13,0.3834147366889693,0.02514683328888418,0.591438429959191,0.20802369327022174,-0.20802369327022174,5,1
AAPL,2023-01-17,0.36725690896419744,0.03351773452361196,0.5992253414579386,0.23196843249374116,-0.23196843249374116,5,1
AAPL,2023-01-18,0.1948829185932978,0.02554281165729783,0.779574287366795,0.5846913687734973,-0.5846913687734973,5,1
AAPL,2023-01-19,0.009193402977658348,0.025754297317595074,0.9650522819763931,0.9558588789987348,-0.9558588789987348,5,1
AAPL,2023-01-20,0.19073954794031228,0.033751327856554984,0.7755091108252553,0.584769562884943,-0.584769562884943,5,1
AAPL,2023-01-23,0.7424500268766978,0.027495065317366174,0.23005491895089245,0.5123951079258053,0.5123951079258053,5,1
AAPL,2023-01-24,0.22245397098423586,0.07599570769781881,0.7015503244766189,0.47909635349238305,-0.47909635349238305,5,1
AAPL,2023-01-25,0.008999819649626714,0.018404334667855907,0.9725958657761432,0.9635960461265165,-0.9635960461265165,5,1
AAPL,2023-01-26,0.1953933052527029,0.028517906344078175,0.7760887780536118,0.5806954728009088,-0.5806954728009088,5,1
AAPL,2023-01-27,0.35710488656938905,0.06093552927282761,0.5819595800619591,0.2248546934925701,-0.2248546934925701,5,1
AAPL,2023-01-30,0.010048091783756489,0.018654550115891302,0.9712973261153544,0.9612492343315978,-0.9612492343315978,5,1
AAPL,2023-01-31,0.014273418261706593,0.018198754135009935,0.9675278299407636,0.953254411679057,-0.953254411679057,5,1
AAPL,2023-02-01,0.012302357753756373,0.015190461603010262,0.9725072001963642,0.9602048424426078,-0.9602048424426078,5,1
AAPL,2023-02-02,0.00778299026848751,0.023884631493365064,0.968332358597947,0.9605493683294595,-0.9605493683294595,5,1
AAPL,2023-02-03,0.00903491682191343,0.01717521864189874,0.9737898366037179,0.9647549197818044,-0.9647549197818044,5,1
AAPL,2023-02-06,0.5689125696157602,0.027471075036686596,0.40361635840863425,0.16529621120712595,0.16529621120712595,5,1
AAPL,2023-02-07,0.19690635493697697,0.024371128919265655,0.778722522214716,0.5818161672777391,-0.5818161672777391,5,1
AAPL,2023-02-08,0.36577626784015327,0.04014636429054756,0.5940773612382583,0.228301093398105,-0.228301093398105,5,1
AAPL,2023-02-09,0.1854092359370303,0.020644197552786556,0.7939465599946155,0.6085373240575852,-0.6085373240575852,5,1
AAPL,2023-02-10,0.009657679616806346,0.01845577763586876,0.9718865326514275,0.9622288530346212,-0.9622288530346212,5,1
AAPL,2023-02-13,0.5631675222219078,0.022849994188406796,0.4139824974558709,0.1491850247660369,0.1491850247660369,5,1
AAPL,2023-02-14,0.3831074957622888,0.0281667899894879,0.5887257051286212,0.2056182093663324,-0.2056182093663324,5,1
AAPL,2023-02-15,0.38715339298639617,0.03729998049651497,0.5755465887097476,0.18839319572335145,-0.18839319572335145,5,1
AAPL,2023-02-16,0.32531474732020127,0.05218312155922376,0.6225021475665982,0.2971874002463969,-0.2971874002463969,5,1
AAPL,2023-02-17,0.20410682282630332,0.029697223379781368,0.7661959322246142,0.5620891093983109,-0.5620891093983109,5,1
AAPL,2023-02-21,0.3720046738990909,0.02587067302131458,0.6021246556571546,0.23011998175806364,-0.23011998175806364,5,1
AAPL,2023-02-22,0.3584270114824266,0.0576003141205596,0.5839726744694698,0.22554566298704315,-0.22554566298704315,5,1
AAPL,2023-02-23,0.13853195022192716,0.07785365548427695,0.7836143962415331,0.6450824460196058,-0.6450824460196058,5,1
AAPL,2023-02-24,0.7456822224566737,0.04937820180347385,0.2049395687612908,0.5407426536953829,0.5407426536953829,5,1
AAPL,2023-02-27,0.39187212235102004,0.04086287478730822,0.5672650211165291,0.17539289876550906,-0.17539289876550906,5,1
AAPL,2023-02-28,0.19493576939598473,0.030857380138107193,0.7742068424599626,0.5792710730639778,-0.5792710730639778,5,1
AAPL,2023-03-01,0.3821452006438235,0.06758732313124295,0.5502674774912368,0.16812227684741332,-0.16812227684741332,5,1
AAPL,2023-03-02,0.3886021106588409,0.05022163473834851,0.5611762554203399,0.17257414476149896,-0.17257414476149896,5,1
AAPL,2023-03-03,0.38310262190333294,0.025866433749661372,0.5910309491195521,0.20792832721621918,-0.20792832721621918,5,1
AAPL,2023-03-06,0.1949500323034031,0.026396304648242705,0.7786536717688634,0.5837036394654602,-0.5837036394654602,5,1
AAPL,2023-03-07,0.37832325596000344,0.03221024192369044,0.589466506025582,0.2111432500655786,-0.2111432500655786,5,1
AAPL,2023-03-08,0.16867552660097687,0.27941694239905623,0.5519075504897977,0.3832320238888208,-0.3832320238888208,5,1
AAPL,2023-03-09,0.18884662543836822,0.03163516157336654,0.7795182093319294,0.5906715838935612,-0.5906715838935612,5,1
AAPL,2023-03-10,0.3669082505851111,0.07885540620295658,0.5542363593284948,0.18732810874338368,-0.18732810874338368,5,1
AAPL,2023-03-13,0.5504311451462754,0.10258032210603812,0.3469885181950273,0.20344262695124815,0.20344262695124815,5,1
AAPL,2023-03-14,0.7532830910068173,0.04413232631199518,0.2025845715756861,0.5506985194311312,0.5506985194311312,5,1
AAPL,2023-03-15,0.5602693758698807,0.035694597757595654,0.40403605599870496,0.15623331987117572,0.15623331987117572,5,1
AAPL,2023-03-16,0.5817344033429307,0.14994561017306463,0.26831998305662746,0.31341442028630323,0.31341442028630323,5,1
AAPL,2023-03-17,0.38007693035229884,0.028723557857877845,0.5911995306059581,0.21112260025365925,-0.21112260025365925,5,1
AAPL,2023-03-20,0.0658504427964001,0.17446680057065891,0.7596827585898662,0.6938323157934662,-0.6938323157934662,5,1
AAPL,2023-03-21,0.34281625793881154,0.22112174303903084,0.43606198455814804,0.0932457266193365,-0.0932457266193365,5,1
AAPL,2023-03-22,0.5596842062574349,0.08595319172385413,0.3543625853752145,0.2053216208822204,0.2053216208822204,5,1
AAPL,2023-03-23,0.37435819015663313,0.036340319761205615,0.5893014880002009,0.21494329784356775,-0.21494329784356775,5,1
AAPL,2023-03-24,0.7434148445723329,0.04467665422296355,0.2119084532949477,0.5315063912773852,0.5315063912773852,5,1
AAPL,2023-03-27,0.20877459579919233,0.03747880321460577,0.7537465692566996,0.5449719734575073,-0.5449719734575073,5,1
AAPL,2023-03-28,0.014434040748186458,0.01778101059832186,0.9677849593277672,0.9533509185795808,-0.9533509185795808,5,1
AAPL,2023-03-29,0.3927527380677708,0.05750458594803428,0.5497426469371738,0.156989908869403,-0.156989908869403,5,1
AAPL,2023-03-30,0.7477186928296183,0.03364161774481697,0.2186397274123736,0.5290789654172448,0.5290789654172448,5,1
AAPL,2023-03-31,0.1991929215842942,0.026533162366008032,0.7742738852312626,0.5750809636469685,-0.5750809636469685,5,1
AAPL,2023-04-03,0.36947655639499716,0.02644834499586892,0.6040750644416386,0.23459850804664145,-0.23459850804664145,5,1
AAPL,2023-04-04,0.5326040010998027,0.06588601624396875,0.40150998801452525,0.1310940130852774,0.1310940130852774,5,1
AAPL,2023-04-05,0.009938648597646293,0.0174120760406064,0.9726492684883786,0.9627106198907324,-0.9627106198907324,5,1
AAPL,2023-04-06,0.012295743028822225,0.01773475154310734,0.9699695038990519,0.9576737608702297,-0.9576737608702297,5,1
AAPL,2023-04-10,0.01119376715170848,0.01683449325201638,0.9719717611970705,0.960777994045362,-0.960777994045362,5,1
AAPL,2023-04-11,0.013183486571244683,0.02261556391054411,0.9642009342283079,0.9510174476570632,-0.9510174476570632,5,1
AAPL,2023-04-12,0.19170305127815465,0.027457456914230294,0.780839487525537,0.5891364362473823,-0.5891364362473823,5,1
AAPL,2023-04-13,0.19448321406544658,0.02799964472481975,0.7775171192197909,0.5830339051543444,-0.5830339051543444,5,1
AAPL,2023-04-14,0.552955501963038,0.04079191246119676,0.4062525949551908,0.14670290700784722,0.14670290700784722,5,1
